jinhanki_id_joined,geom_joined_any,population
外神田五丁目 - 3574,POINT(139.772313 35.7039119),5908.0
外神田五丁目 - 3579,POINT(139.7722395 35.7037365),5908.0
外神田五丁目 - 3581,POINT(139.7724919 35.703716),5908.0
外神田五丁目 - 3573,POINT(139.7725068 35.7038234),5908.0
外神田五丁目 - 3570,POINT(139.7728349 35.70415),5908.0
外神田五丁目 - 3557,POINT(139.772657 35.7042685),5908.0
外神田五丁目 - 3552,POINT(139.772493 35.7045089),5908.0
外神田五丁目 - 3561,POINT(139.7726518 35.7043372),5908.0
神田駿河台 - 791,POINT(139.7644121 35.6990063),7444.0
神田駿河台 - 792,POINT(139.7641494 35.6990564),7444.0
神田駿河台 - 794,POINT(139.7642744 35.6990468),7444.0
神田駿河台 - 793,POINT(139.7642258 35.6990631),7444.0
台東三丁目 - 2845,POINT(139.7798787 35.7050128),8232.0
台東四丁目 - 2812,POINT(139.7797933 35.7058924),8232.0
台東三丁目 - 2859,POINT(139.7798252 35.7050287),8232.0
台東三丁目 - 2842,POINT(139.7798936 35.7054736),8232.0
台東三丁目 - 2858,POINT(139.7801699 35.7054662),8232.0
台東三丁目 - 2844,POINT(139.7798607 35.7053897),8232.0
台東三丁目 - 2843,POINT(139.7797052 35.7056113),8232.0
台東三丁目 - 2852,POINT(139.7797186 35.7051893),8232.0
上高井戸一丁目 - 847,POINT(139.614236 35.671771),10280.0
上高井戸一丁目 - 848,POINT(139.614267 35.671752),10280.0
向台町 - 3819,POINT(139.5365824 35.7221129),5909.0
向台町 - 3818,POINT(139.5366072 35.7223401),5909.0
西荻南三丁目 - 4499,POINT(139.6004355 35.7031861),6933.0
西荻北三丁目 - 4508,POINT(139.5998496 35.7039652),6933.0
西荻南三丁目 - 4505,POINT(139.6003914 35.7031962),6933.0
河辺町四丁目 - 4144,POINT(139.2842968 35.7811144),2827.0
河辺町四丁目 - 4147,POINT(139.2843032 35.7811108),2827.0
千代ケ丘二丁目 - 997,POINT(139.5100828 35.6138704),3723.0
秋葉原クロスフィールド - 2696,POINT(139.7719019 35.7002657),4374.0
東生田 - 4269,POINT(139.5643255 35.6167948),4886.0
秋葉原 - 2006,POINT(139.773591 35.7026851),6422.0
神楽坂一丁目 - 3192,POINT(139.742798 35.700215),6934.0
神楽坂一丁目 - 3193,POINT(139.742772 35.700206),6934.0
赤羽南一丁目 - 1188,POINT(139.725473 35.775871),7702.0
八幡町三丁目 - 1990,POINT(139.5509278 35.7159623),4887.0
八幡町三丁目 - 1992,POINT(139.5509109 35.7159653),4887.0
旭町 - 1952,POINT(139.3381525 35.6561986),5399.0
神田松永町 - 2794,POINT(139.7763832 35.7000771),6423.0
神田松永町 - 2796,POINT(139.7757956 35.7004865),6423.0
神田松永町 - 2793,POINT(139.7761352 35.6996332),6423.0
旭町 - 1946,POINT(139.3380808 35.6566195),6935.0
旭町 - 1957,POINT(139.3381118 35.6569462),6935.0
旭町 - 1956,POINT(139.3374976 35.656712),6935.0
旭町 - 1979,POINT(139.3379359 35.6569558),6935.0
旭町 - 1976,POINT(139.337967 35.6570215),6935.0
旭町 - 1949,POINT(139.3381665 35.6570245),6935.0
旭町 - 1962,POINT(139.3374922 35.6567905),6935.0
旭町 - 1975,POINT(139.3380204 35.6566259),6935.0
旭町 - 1974,POINT(139.3379591 35.6566308),6935.0
旭町 - 1970,POINT(139.337503 35.6568123),6935.0
旭町 - 1960,POINT(139.3374976 35.6567556),6935.0
旭町 - 1978,POINT(139.3379036 35.6566333),6935.0
中町三丁目 - 724,POINT(139.5673247 35.7113284),9262.0
上壱分方町 - 4076,POINT(139.2793942 35.6792956),1606.0
神田平河町 - 1308,POINT(139.775859 35.6984767),5912.0
神田平河町 - 1309,POINT(139.7761861 35.6984785),5912.0
浅草橋五丁目 - 3009,POINT(139.7819363 35.699937),7192.0
浅草橋五丁目 - 2986,POINT(139.7813772 35.6997922),7192.0
浅草橋五丁目 - 3013,POINT(139.7811891 35.700074),7192.0
浅草橋五丁目 - 2999,POINT(139.7814142 35.7004337),7192.0
浅草橋五丁目 - 2992,POINT(139.7814821 35.699982),7192.0
上野五丁目 - 2369,POINT(139.7752681 35.7065674),9264.0
東日暮里四丁目 - 4500,POINT(139.7791069 35.7251188),9264.0
山吹町 - 3481,POINT(139.7299367 35.7082989),10288.0
山吹町 - 3476,POINT(139.7298313 35.708162),10288.0
山吹町 - 3483,POINT(139.7302243 35.7084545),10288.0
東上野三丁目 - 607,POINT(139.7819551 35.7111502),11312.0
曙町二丁目 - 2726,POINT(139.41413 35.699952),4121.0
曙町二丁目 - 2706,POINT(139.413793 35.699453),4121.0
南青山六丁目 - 4256,POINT(139.716832 35.662588),4377.0
淵野辺五丁目 - 3020,POINT(139.4029078 35.5693856),4889.0
西麻布一丁目 - 3926,POINT(139.725544 35.660538),5401.0
西麻布一丁目 - 3920,POINT(139.725555 35.660538),5401.0
西麻布一丁目 - 3924,POINT(139.724292 35.660987),5913.0
西麻布一丁目 - 3922,POINT(139.723933 35.660817),5913.0
西麻布一丁目 - 3927,POINT(139.723893 35.660919),5913.0
西麻布一丁目 - 3919,POINT(139.724863 35.660777),5913.0
池之端二丁目 - 4298,POINT(139.7678518 35.7150318),7449.0
池之端二丁目 - 4292,POINT(139.7677854 35.7148555),7449.0
牟礼一丁目 - 3254,POINT(139.5894304 35.6818568),7961.0
溝口二丁目 - 2836,POINT(139.6106063 35.6017644),8754.0
赤羽二丁目 - 1199,POINT(139.7265768 35.7800726),8754.0
桜堤一丁目 - 1001,POINT(139.5383231 35.7096252),9266.0
要町三丁目 - 4709,POINT(139.6900162 35.7382029),12850.0
片倉町 - 1369,POINT(139.3410143 35.6388995),2189.0
猿楽町1 - 940,POINT(139.7600047 35.6977957),5658.0
猿楽町1 - 939,POINT(139.7598407 35.6977459),5658.0
神田猿楽町一丁目 - 4197,POINT(139.760796 35.698136),5658.0
猿楽町1 - 938,POINT(139.7601471 35.6977127),5658.0
品川 - 4562,POINT(139.738635 35.628533),6938.0
港南二丁目 - 2566,POINT(139.737901 35.6292451),6938.0
芝公園一丁目 - 1899,POINT(139.750847 35.660983),7194.0
文京区 - 1816,POINT(139.7464538 35.7174859),9268.0
文京区 - 1819,POINT(139.747034 35.7171647),9268.0
文京区 - 1818,POINT(139.7471112 35.7171115),9268.0
文京区 - 1817,POINT(139.7465969 35.7172961),9268.0
国領町二丁目 - 4561,POINT(139.557903 35.650459),9780.0
国領町二丁目 - 4560,POINT(139.55787 35.650508),9780.0
国領町二丁目 - 4379,POINT(139.557967 35.650432),9780.0
田町 - 742,POINT(139.337565 35.666132),4123.0
千人町二丁目 - 220,POINT(139.3120885 35.6562823),6171.0
千人町二丁目 - 216,POINT(139.3125233 35.6562632),6171.0
大師本町 - 2138,POINT(139.7310115 35.5349586),9782.0
西片二丁目 - 800,POINT(139.7569697 35.7154444),11830.0
西片二丁目 - 801,POINT(139.7567971 35.7151728),11830.0
西片二丁目 - 799,POINT(139.7567701 35.715174),11830.0
もくせいの杜 - 930,POINT(139.3908459 35.7138596),1415.0
川町 - 1508,POINT(139.2674697 35.6739105),1927.0
河辺町八丁目 - 4063,POINT(139.2974307 35.7856269),3214.0
玉川四丁目 - 2143,POINT(139.620587 35.617381),3342.0
玉川四丁目 - 2142,POINT(139.620418 35.617511),3342.0
神田須田町一丁目 - 1742,POINT(139.7699352 35.6964485),3470.0
東浅川町 - 4332,POINT(139.2841741 35.6444151),3470.0
神田須田町一丁目 - 1741,POINT(139.7701874 35.6965317),3470.0
東浅川町 - 4338,POINT(139.2842516 35.6444511),3470.0
岩本町 - 1279,POINT(139.7756284 35.6942797),3726.0
岩本町 - 1280,POINT(139.7756191 35.6942776),3726.0
岩本町 - 1281,POINT(139.7757866 35.6942342),3726.0
神田多町二丁目 - 1737,POINT(139.7698768 35.6940053),3854.0
神田多町二丁目 - 1735,POINT(139.7698566 35.6939193),3854.0
神田多町二丁目 - 1732,POINT(139.7698823 35.6938682),3854.0
みなみ野四丁目 - 4644,POINT(139.3232473 35.6266851),4124.0
落合二丁目 - 1427,POINT(139.4258164 35.6213422),4380.0
上水本町一丁目 - 1855,POINT(139.464626 35.72066),4636.0
港区 - 2229,POINT(139.7404141 35.6437607),5916.0
東池袋一丁目 - 3648,POINT(139.7160632 35.7307946),9272.0
東池袋一丁目 - 3649,POINT(139.7160632 35.7307819),9272.0
東池袋一丁目 - 3647,POINT(139.7160632 35.7307882),9272.0
東池袋一丁目 - 3650,POINT(139.7160631 35.7308005),9272.0
台東一丁目 - 2944,POINT(139.7771515 35.7018501),11320.0
台東一丁目 - 2961,POINT(139.7778864 35.7020915),11320.0
台東一丁目 - 2955,POINT(139.7773472 35.7020902),11320.0
台東一丁目 - 2960,POINT(139.777851 35.702185),11320.0
台東一丁目 - 2957,POINT(139.7767467 35.701815),11320.0
台東一丁目 - 2971,POINT(139.7768909 35.7015797),11320.0
千束三丁目 - 3689,POINT(139.7933154 35.7200955),8762.0
丸の内三丁目 - 673,POINT(139.7652156 35.6774537),3983.0
喜多見四丁目 - 4513,POINT(139.5965193 35.6291386),4894.0
明神町三丁目 - 771,POINT(139.3439762 35.6566393),5918.0
明神町三丁目 - 773,POINT(139.3445985 35.6567809),5918.0
明神町三丁目 - 770,POINT(139.3444899 35.6562138),5918.0
明神町三丁目 - 762,POINT(139.34462 35.6567679),5918.0
明神町三丁目 - 769,POINT(139.3439615 35.6566464),5918.0
境四丁目 - 1604,POINT(139.5400906 35.7072666),7454.0
渋谷二丁目 - 586,POINT(139.7069241 35.660514),8252.0
一番町一丁目 - 3917,POINT(139.383056 35.724359),4127.0
湯島三丁目 - 3377,POINT(139.7693358 35.7068593),4895.0
湯島三丁目 - 3394,POINT(139.7694145 35.7070115),4895.0
湯島三丁目 - 3374,POINT(139.7688543 35.7074095),4895.0
湯島三丁目 - 3366,POINT(139.7697713 35.7069768),4895.0
